Target Distance: 50, Step Size: 2
0: (x,y) = (0, 0)
1: (x,y) = (-1.92252, 0.551275)
2: (x,y) = (-2.40637, -1.38932)
3: (x,y) = (-1.85509, 0.533207)
4: (x,y) = (-3.08642, -1.04281)
5: (x,y) = (-1.96803, -2.70089)
6: (x,y) = (-0.113662, -3.4501)
7: (x,y) = (-0.322719, -1.46106)
8: (x,y) = (1.54444, -0.744323)
9: (x,y) = (0.397289, 0.893981)
10: (x,y) = (2.37783, 1.17233)
11: (x,y) = (4.36292, 0.928588)
12: (x,y) = (4.53723, 2.92098)
13: (x,y) = (2.9192, 1.74541)
14: (x,y) = (2.67546, -0.239685)
15: (x,y) = (4.20755, 1.04589)
16: (x,y) = (4.58916, -0.917364)
17: (x,y) = (5.03907, -2.8661)
18: (x,y) = (6.71641, -3.95538)
19: (x,y) = (6.71641, -5.95538)
20: (x,y) = (5.02031, -4.89554)
21: (x,y) = (7.0054, -4.65181)
22: (x,y) = (9.0051, -4.68671)
23: (x,y) = (7.04184, -5.06833)
24: (x,y) = (5.75627, -6.60042)
25: (x,y) = (4.18025, -7.83174)
26: (x,y) = (4.79828, -5.92963)
27: (x,y) = (6.79554, -5.82496)
28: (x,y) = (8.34983, -7.0836)
29: (x,y) = (9.5254, -8.70163)
30: (x,y) = (11.4741, -8.25173)
31: (x,y) = (13.406, -7.73409)
32: (x,y) = (13.8218, -9.69038)
33: (x,y) = (15.7851, -9.30877)
34: (x,y) = (17.7076, -9.86004)
35: (x,y) = (15.7079, -9.89495)
36: (x,y) = (15.8126, -11.8922)
37: (x,y) = (13.8372, -12.2051)
38: (x,y) = (12.6059, -10.6291)
39: (x,y) = (10.6426, -10.2474)
40: (x,y) = (12.6377, -10.1079)
41: (x,y) = (10.7467, -9.45679)
42: (x,y) = (12.233, -8.11852)
43: (x,y) = (14.0874, -7.36931)
44: (x,y) = (13.3059, -5.5283)
45: (x,y) = (12.993, -7.50368)
46: (x,y) = (11.8175, -5.88564)
47: (x,y) = (11.3676, -7.83438)
48: (x,y) = (13.1168, -8.804)
49: (x,y) = (11.1681, -8.3541)
50: (x,y) = (11.3771, -6.36506)
51: (x,y) = (10.726, -8.25609)
52: (x,y) = (11.8153, -9.93344)
53: (x,y) = (13.815, -9.96834)
54: (x,y) = (15.3244, -11.2805)
55: (x,y) = (15.4987, -9.28807)
56: (x,y) = (16.1167, -7.38596)
57: (x,y) = (14.1195, -7.49063)
58: (x,y) = (16.042, -8.0419)
59: (x,y) = (17.8546, -8.88714)
60: (x,y) = (18.5057, -6.9961)
61: (x,y) = (20.2201, -5.96603)
62: (x,y) = (20.7377, -7.89788)
63: (x,y) = (18.7405, -7.79321)
64: (x,y) = (16.8494, -8.44434)
65: (x,y) = (15.3173, -9.72992)
66: (x,y) = (13.9791, -8.24363)
67: (x,y) = (14.2574, -10.2242)
68: (x,y) = (13.5082, -8.3698)
69: (x,y) = (11.5449, -7.98818)
70: (x,y) = (12.8036, -6.43389)
71: (x,y) = (14.1929, -4.99521)
72: (x,y) = (14.0534, -6.99033)
73: (x,y) = (13.0838, -8.73957)
74: (x,y) = (11.7982, -7.20749)
75: (x,y) = (13.5474, -8.1771)
76: (x,y) = (11.5669, -8.45545)
77: (x,y) = (12.0845, -6.5236)
78: (x,y) = (10.5751, -5.21148)
79: (x,y) = (9.89107, -3.3321)
80: (x,y) = (9.20703, -1.45271)
81: (x,y) = (10.7613, -0.19407)
82: (x,y) = (9.76133, -1.92612)
83: (x,y) = (10.0397, 0.0544154)
84: (x,y) = (10.5235, -1.88618)
85: (x,y) = (9.26487, -0.331884)
86: (x,y) = (7.6068, -1.45027)
87: (x,y) = (5.63718, -1.10297)
88: (x,y) = (5.84624, 0.88607)
89: (x,y) = (6.84624, -0.845981)
90: (x,y) = (8.40053, -2.10462)
91: (x,y) = (9.48981, -3.78196)
92: (x,y) = (10.1739, -5.66135)
93: (x,y) = (8.40796, -6.60029)
94: (x,y) = (8.44286, -4.6006)
95: (x,y) = (6.46232, -4.87894)
96: (x,y) = (4.46994, -5.05325)
97: (x,y) = (2.98365, -6.39151)
98: (x,y) = (1.17103, -5.54628)
99: (x,y) = (-0.543305, -4.5162)
100: (x,y) = (1.32386, -3.79947)
101: (x,y) = (1.01099, -1.82409)
102: (x,y) = (2.07083, -0.127993)
